Company,Model,MSE,RMSE,MAE,R2
HBL,Linear_Regression,0.29528,0.543396,0.467715,-0.181119
HBL,Random_Forest,0.179175,0.42329,0.395484,0.283301
HBL,ARIMA,2.001514,1.414749,1.173561,-7.006058
HBL,XGBoost,0.034515,0.185782,0.144678,0.86194
HBL,CatBoost,0.090187,0.300311,0.246748,0.639254
OGDCL,Linear_Regression,0.010343,0.101701,0.082238,0.958627
OGDCL,Random_Forest,0.018794,0.137093,0.132438,0.924822
OGDCL,ARIMA,0.41848,0.6469,0.63292,-0.673919
OGDCL,XGBoost,0.048206,0.219558,0.156848,0.807178
OGDCL,CatBoost,0.051937,0.227898,0.176687,0.792251
PPL,Linear_Regression,0.142618,0.377648,0.289857,0.429527
PPL,Random_Forest,0.113118,0.33633,0.336297,0.547529
PPL,ARIMA,0.72476,0.851328,0.770857,-1.899039
PPL,XGBoost,0.040065,0.200163,0.143466,0.839739
PPL,CatBoost,0.247912,0.497907,0.478968,0.008353
SECP,Linear_Regression,0.00438,0.066181,0.048484,0.98248
SECP,Random_Forest,0.011409,0.106813,0.079136,0.954364
SECP,ARIMA,0.254782,0.50476,0.39902,-0.019129
SECP,XGBoost,0.003574,0.059787,0.057455,0.985702
SECP,CatBoost,0.016989,0.130343,0.11422,0.932043
NBP,Linear_Regression,0.018027,0.134266,0.133422,0.927891
NBP,Random_Forest,0.017322,0.131612,0.131077,0.930713
NBP,ARIMA,0.415013,0.644215,0.509227,-0.660051
NBP,XGBoost,0.019024,0.137929,0.09896,0.923902
NBP,CatBoost,0.007634,0.087371,0.086337,0.969465
SSGC,Linear_Regression,1.091694,1.044842,0.799503,-3.366775
SSGC,Random_Forest,0.02915,0.170735,0.138178,0.883399
SSGC,ARIMA,46.212465,6.797975,6.719242,-183.84986
SSGC,XGBoost,0.026555,0.162957,0.16096,0.89378
SSGC,CatBoost,0.028063,0.16752,0.166484,0.887749
PIA,Linear_Regression,0.559189,0.747789,0.54466,-1.236755
PIA,Random_Forest,0.521584,0.722208,0.626114,-1.086335
PIA,ARIMA,0.526414,0.725544,0.560969,-1.105654
PIA,XGBoost,0.564405,0.751269,0.687069,-1.257618
PIA,CatBoost,0.249566,0.499566,0.457202,0.001736
PAKOXY,Linear_Regression,0.124679,0.353099,0.333595,0.501285
PAKOXY,Random_Forest,0.212458,0.460932,0.394637,0.150166
PAKOXY,ARIMA,0.552934,0.743596,0.651198,-1.211737
PAKOXY,XGBoost,0.08575,0.292831,0.269191,0.657
PAKOXY,CatBoost,0.177187,0.420935,0.322901,0.291254
